0¦SELF¦1581416468897¦1581416470527¦1581416470530¦1581416468897¦1581416470527¦1581416470527¦hello ¦Vlad11,Nikolai;¦ ⁰h ³⁰⁰e ⁷⁷²l ¹⁶⁴l ¹⁹⁸o ¹⁹⁶ ¦hello ¦
0¦OTHER¦1581416484704¦1581416487826¦1581416487830¦1581416484704¦1581416487826¦1581416487826¦vhello¦Vlad11,Nikolai;¦ ⁰v ²⁷⁷¹h ²¹e ⁶²l ¹²⁷l ¹⁴¹o¦v▅▅hello¦
0¦SELF¦1581416494849¦1581416540248¦1581416540252¦1581416494849¦1581416540248¦1581416540248¦hello very nice i am ready wheneverno rushno rushno rushno rush¦Vlad11,Nikolai;¦ ⁰h ¹⁴³e ¹⁷⁹l ¹⁴⁰l ²⁸⁰o ²¹⁰  ⁴⁴²v ¹³⁰e ¹⁸³r ⁹⁶y ¹³⁵  ¹⁶¹n ¹⁵⁰i ¹⁰⁴c ²³¹e ⁵¹⁰  ¹⁶³⁷⁶i ²²²  ²⁰³a ⁹⁵m ¹⁴⁹  ²³⁰r ⁵¹e ⁷⁷a ¹⁹⁰d ⁹²y ¹²⁰  ⁹¹w ¹⁰²h ¹⁰⁹e ¹¹⁷n ¹²⁵e ⁵⁴⁴v ⁸⁴e ¹⁰⁰r ³⁵⁹⁸n ²¹⁸o ¹⁷⁴  ¹⁵⁰r ¹⁴⁴u ¹³⁴s ¹¹⁹h ⁴⁹⁶⁸n ¹⁷¹o ¹⁴⁸  ¹⁰⁹r ¹³⁵u ¹³⁰s ⁹⁹h ⁴⁸⁸⁸n ¹⁶⁸o ¹⁶⁰  ¹³¹r ¹⁰⁸u ¹⁴²s ¹²⁰h ⁶⁴³⁸n ¹⁵¹o ¹⁵¹  ¹³²r ¹²⁰u ¹³⁷s ⁸⁵h¦hello very nice ▅▅▅▅▅i am ready whenever▅▅no rush▅▅▅no rush▅▅▅no rush▅▅▅no rush¦
0¦OTHER¦1581416541636¦1581416544302¦1581416544305¦1581416541636¦1581416544302¦1581416544302¦I am ready, ¦Vlad11,Nikolai;¦ ⁰I ⁶²  ⁸⁶³a ¹²m ⁸⁷  ²⁰⁹r ⁴⁵e ¹²⁴a ⁶⁸d ¹⁰¹y ¹⁰⁹¹, ⁴ ¦I am ready▅, ¦
0¦SELF¦1581416544306¦1581416544306¦1581416544309¦1581416544306¦1581416544306¦1581416544306¦c¦Vlad11,Nikolai;¦ ⁰c¦c¦
0¦OTHER¦1581416544430¦1581416544430¦1581416544434¦1581416544430¦1581416544430¦1581416544430¦t¦Vlad11,Nikolai;¦ ⁰t¦t¦
0¦SELF¦1581416544456¦1581416544456¦1581416544460¦1581416544456¦1581416544456¦1581416544456¦o¦Vlad11,Nikolai;¦ ⁰o¦o¦
0¦OTHER¦1581416544469¦1581416544539¦1581416544543¦1581416544469¦1581416544539¦1581416544539¦hi¦Vlad11,Nikolai;¦ ⁰h ⁷⁰i¦hi¦
0¦SELF¦1581416544595¦1581416544595¦1581416544598¦1581416544595¦1581416544595¦1581416544595¦o¦Vlad11,Nikolai;¦ ⁰o¦o¦
0¦OTHER¦1581416544600¦1581416544685¦1581416544688¦1581416544600¦1581416544685¦1581416544685¦nk ¦Vlad11,Nikolai;¦ ⁰n ⁸¹k ⁴ ¦nk ¦
0¦SELF¦1581416544767¦1581416544767¦1581416544770¦1581416544767¦1581416544767¦1581416544767¦l¦Vlad11,Nikolai;¦ ⁰l¦l¦
