0¦OTHER¦1581416468046¦1581416469658¦1581416470538¦1581416468046¦1581416469658¦1581416469658¦hello ¦Vlad10,Adam;¦ ⁰h ³¹⁴e ⁸²¹l ⁸³l ²²⁴o ¹⁷⁰ ¦hello ¦
0¦SELF¦1581416483746¦1581416486938¦1581416487821¦1581416483746¦1581416486938¦1581416486938¦vhello¦Vlad10,Adam;¦ ⁰v ²⁷³⁹h ¹²⁴e ⁶³l ¹²⁶l ¹⁴⁰o¦v▅▅hello¦
0¦OTHER¦1581416494062¦1581416539379¦1581416540260¦1581416494062¦1581416539379¦1581416539379¦hello very nice i am ready wheneverno rushno rushno rushno rush¦Vlad10,Adam;¦ ⁰h ⁶¹e ²⁴⁶l ⁸²l ³²⁸o ²⁰³  ³⁹²v ²²²e ⁸⁹r ⁹⁷y ²²⁴  ⁷²n ²³⁶i ¹⁸c ²⁸⁹e ⁵¹²  ¹⁶³⁸⁶i ²⁰⁴  ²⁰⁶a ⁴²m ¹⁶⁰  ³⁰⁹r ⁰e ³⁶a ²⁷³d ¹⁰y ¹¹⁸  ⁹¹w ¹⁰¹h ¹¹¹e ¹¹⁶n ¹⁶⁶e ⁵¹⁵v ⁷³e ⁹⁸r ³⁶¹⁷n ³⁰⁶o ⁶⁸  ²⁴¹r ⁵⁴u ¹⁵⁰s ¹⁰⁷h ⁵⁰¹²n ¹²⁵o ¹⁸³  ⁷²r ²³⁵u ²⁸s ¹⁰⁰h ⁴⁹⁹³n ⁶⁵o ²⁴³  ⁴⁷r ¹⁰⁸u ¹⁵¹s ¹¹⁰h ⁶⁵⁴⁶n ⁴⁴o ¹⁵⁰  ²¹⁴r ³⁸u ¹³⁹s ⁸⁵h¦hello very nice ▅▅▅▅▅i am ready whenever▅▅no rush▅▅▅no rush▅▅▅no rush▅▅▅no rush¦
0¦SELF¦1581416540657¦1581416543401¦1581416544283¦1581416540657¦1581416543401¦1581416543401¦I am ready, ¦Vlad10,Adam;¦ ⁰I ¹⁵⁴  ⁸⁰⁴a ⁷³m ⁸⁵  ²⁰⁸r ⁴⁸e ¹²¹a ⁷¹d ¹⁰⁰y ¹⁰⁰⁴, ⁷⁶ ¦I am ready▅, ¦
0¦OTHER¦1581416543437¦1581416543437¦1581416544361¦1581416543437¦1581416543437¦1581416543437¦c¦Vlad10,Adam;¦ ⁰c¦c¦
0¦SELF¦1581416543544¦1581416543583¦1581416544465¦1581416543544¦1581416543583¦1581416543583¦th¦Vlad10,Adam;¦ ⁰t ³⁹h¦th¦
0¦OTHER¦1581416543586¦1581416543586¦1581416544466¦1581416543586¦1581416543586¦1581416543586¦o¦Vlad10,Adam;¦ ⁰o¦o¦
0¦SELF¦1581416543652¦1581416543712¦1581416544593¦1581416543652¦1581416543712¦1581416543712¦in¦Vlad10,Adam;¦ ⁰i ⁶⁰n¦in¦
0¦OTHER¦1581416543724¦1581416543724¦1581416544646¦1581416543724¦1581416543724¦1581416543724¦o¦Vlad10,Adam;¦ ⁰o¦o¦
0¦SELF¦1581416543791¦1581416543896¦1581416544778¦1581416543791¦1581416543896¦1581416543896¦k s¦Vlad10,Adam;¦ ⁰k ⁶  ⁹⁹s¦k s¦
0¦OTHER¦1581416543897¦1581416543897¦1581416544778¦1581416543897¦1581416543897¦1581416543897¦l¦Vlad10,Adam;¦ ⁰l¦l¦
0¦SELF¦1581416543998¦1581416543998¦1581416544879¦1581416543998¦1581416543998¦1581416543998¦o¦Vlad10,Adam;¦ ⁰o¦o¦
0¦OTHER¦1581416550086¦1581416555193¦1581416556074¦1581416550086¦1581416555193¦1581416555193¦ok, so who do we kill?¦Vlad10,Adam;¦ ⁰o ²⁹⁵k ⁷²⁶, ¹⁰¹  ¹⁹⁸s ⁵³o ²⁶¹  ⁷⁰⁸w ²⁰⁷h ¹⁰²o ²⁰³  ²⁰⁵d ²¹o ¹⁸³  ⁴²w ⁹⁶e ¹⁷²  ²⁰⁵k ¹⁰⁶i ¹⁸⁹l ²¹⁶l ⁸¹⁸?¦ok, so who do we kill?¦
0¦SELF¦1581416556405¦1581416559009¦1581416559891¦1581416556405¦1581416559009¦1581416559009¦good question, I¦Vlad10,Adam;¦ ⁰g ⁷¹o ¹¹⁴o ⁸⁸d ¹⁴⁸  ⁵⁶q ¹¹⁶u ⁵²e ¹⁸⁹s ⁷⁶t ¹⁰⁹i ⁵⁶o ⁶⁸n ¹⁰⁵⁴, ¹⁵²  ²⁵⁵I¦good question▅, I¦
0¦OTHER¦1581416559024¦1581416559412¦1581416560293¦1581416559024¦1581416559412¦1581416559412¦i t¦Vlad10,Adam;¦ ⁰i ⁸¹  ³⁰⁷t¦i t¦
0¦SELF¦1581416559825¦1581416560071¦1581416560951¦1581416559825¦1581416560071¦1581416560071¦ wo¦Vlad10,Adam;¦ ⁰  ¹⁵⁸w ⁸⁸o¦ wo¦
0¦OTHER¦1581416560074¦1581416560074¦1581416560956¦1581416560074¦1581416560074¦1581416560074¦h¦Vlad10,Adam;¦ ⁰h¦h¦
